city,latitude,longitude,country,c40,population,risk0,risk1,risk2,risk3,risk4,risk5,risk6
Indianapolis,39.7676,-86.1785,United States of America,False,863000.0,,2.0,2.0,2.0,,,
Iskandar,5.71447,100.992,Malaysia,False,1900000.0,,,2.0,,,,
JICOSUR,19.34,-104.38,Mexico,False,147918.0,,2.0,2.0,1.0,1.0,1.0,
JIMAV,19.7682,-104.367,Mexico,False,371457.0,,2.0,2.0,2.0,2.0,,
Jakarta,-6.1751,106.865,Indonesia,True,10075310.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
Johannesburg,-26.2041,28.0473,South Africa,True,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Juruena,-10.3178,-58.3589,Brazil,False,,,2.0,,,,,
JuÃ¡rez,31.6904,-106.425,Mexico,False,1391180.0,,,2.0,,,,
Kansas City,39.1429,-94.573,United States of America,False,467007.0,,3.0,,,,,
Kaohsiung,22.6297,120.344,"Taiwan, Greater China",False,2776912.0,,,2.0,,,,
Karachi,24.9108,67.1281,Pakistan,True,25000000.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Key West,81.78,24.5551,United States of America,False,26990.0,,,3.0,,,,
Kisumu,-0.0917,34.7679,Kenya,False,968909.0,,,,3.0,2.0,,
Kolkata,22.5726,88.3639,India,True,14030000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
La Barca,20.2903,-102.546,Mexico,False,85000.0,,2.0,2.0,,2.0,,
La Crosse,43.8014,-91.2396,United States of America,False,51320.0,,2.0,,2.0,,,
LaGrange,40.0428,-91.4976,United States of America,False,931.0,,,,2.0,,,
Lagos,6.52437,3.3792,Nigeria,True,24821418.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
Lahti,60.9833,25.65,Finland,False,119573.0,,2.0,2.0,2.0,,,
Lakewood,39.7047,-105.081,United States of America,False,154368.0,2.0,2.0,2.0,2.0,,,
"Lancaster, PA",40.0379,-76.3055,United States of America,False,60000.0,,2.0,,2.0,,,
Las Vegas,36.1699,-115.14,United States of America,False,648224.0,1.0,2.0,3.0,2.0,2.0,1.0,
Laval,45.6207,-73.7126,Canada,False,437413.0,,,,,1.0,,
Leicester,52.6333,-1.1333,United Kingdom of Great Britain and Northern Ireland,False,349500.0,,2.0,2.0,,,,
Leticia,-4.21528,-69.9406,Colombia,False,,,2.0,,,,,
Lilongwe,-13.9626,33.7741,Malawi,False,1100000.0,,,2.0,,,,
Limeira,-22.5665,-47.3974,Brazil,False,,,,2.0,,,,
London,51.5048,-0.07868,United Kingdom of Great Britain and Northern Ireland,True,8883800.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
Londrina,-23.3356,-51.1505,Brazil,False,506701.0,1.0,,,2.0,,,
Long Beach,33.7701,-118.194,United States of America,False,470130.0,,1.0,2.0,,,,
Lorena,-22.7339,-45.1201,Brazil,False,87980.0,,2.0,3.0,3.0,,,2.0
MaceiÃ³,-9.67342,-35.718,Brazil,False,1021127.0,,2.0,,2.0,,,
Manhattan Beach,33.8889,-118.405,United States of America,False,35881.0,,,2.0,,,,
Mannheim,49.4875,8.46603,Germany,False,312722.0,2.0,,,,,,
Mazabuka,-15.8613,27.7491,Zambia,False,182205.0,,,2.0,2.0,,,
MedellÃ­n,6.22729,-75.5735,Colombia,True,2464.322,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Memphis,35.1495,-90.049,United States of America,False,652236.0,,,1.0,2.0,,,
Mendoza,-32.8894,-68.8458,Argentina,False,115041.0,,2.0,2.0,,,,
Mexico City,19.4326,-99.1332,Mexico,True,8833416.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Miami Beach,25.7906,-80.13,United States of America,False,91917.0,,2.0,2.0,,,,
Minneapolis,44.9833,-93.2667,United States of America,False,419952.0,,,1.0,,,,
Miraflores,-16.3994,-71.5366,Peru,False,85065.0,,,3.0,,,,
Mirandela,41.51,-7.1753,Portugal,False,11852.0,,,2.0,2.0,,,
Moab,38.57,-109.54,United States of America,False,5253.0,,,2.0,,,,
MonterÃ­a,8.74798,-75.8814,Colombia,False,441301.0,,,2.0,1.0,,,
Murcia,37.799,-1.00495,Spain,False,443243.0,,,3.0,2.0,,,
MÃ©rida,20.9674,-89.5926,Mexico,False,830732.0,,,,2.0,,,
Nacala,-14.5656,40.6854,Mozambique,False,241050.0,,,2.0,,,,
Nagoya,35.1815,136.906,Japan,False,2303070.0,,2.0,,2.0,,,
Nairobi,-1.29206,36.8219,Kenya,True,4500000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Nakuru,-0.30309,36.08,Kenya,False,2038945.0,,2.0,2.0,2.0,3.0,,
Nashville,36.1627,-86.7816,United States of America,False,667560.0,,2.0,2.0,1.0,,,
Natal,-5.77925,-35.2009,Brazil,False,869954.0,,,2.0,2.0,,,
Natchez,31.5604,-91.4032,United States of America,False,,,2.0,,,,,
Naucalpan de JuÃ¡rez,19.4631,-99.2453,Mexico,False,,,,2.0,,,,
New Bedford,41.6362,-70.9342,United States of America,False,,,2.0,,,,,
New Plymouth District,-39.1011,174.354,New Zealand,False,82130.0,,2.0,,,2.0,,
New Taipei,25.0111,121.446,"Taiwan, Greater China",False,3986689.0,,,1.0,,,,
Nijmegen,51.8449,5.84282,Netherlands,False,175000.0,,,,2.0,,,
NiterÃ³i,-22.8928,-43.1184,Brazil,False,499.028,,2.0,2.0,,,,
North Vancouver,49.32,-123.072,Canada,False,52898.0,,2.0,2.0,2.0,2.0,,
Oakland,37.8044,-122.271,United States of America,False,420000.0,2.0,2.0,3.0,,,2.0,
OlÃ­mpia,-20.7371,-48.9111,Brazil,False,51092.0,,,2.0,,,,
Oristano,39.7207,8.898,Italy,False,31630.0,,,2.0,2.0,,,
Oslo,59.9139,10.7522,Norway,True,673469.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Ovar,40.8901,-8.59723,Portugal,False,55398.0,,,2.0,2.0,,,
Palmira,3.53944,-76.3036,Colombia,False,308671.0,,,2.0,2.0,2.0,,
Paris,48.8566,2.35222,France,True,2265886.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Park City,40.6461,-111.498,United States of America,False,7873.0,,,2.0,,2.0,,
Parma,44.8015,10.3279,Italy,False,,,,2.0,,,,
Pemba,-12.9732,40.5178,Mozambique,False,201.846,,2.0,2.0,,2.0,,2.0
Phoenix,33.4484,-112.074,United States of America,False,1615017.0,2.0,,2.0,,,,
Piedmont,37.8244,-122.232,United States of America,False,11378.0,1.0,,1.0,,,,
PingtungÂ County,22.6558,120.47,"Taiwan, Greater China",False,829939.0,,,,3.0,,,
PirenÃ³polis,-15.8545,-48.9595,Brazil,False,24605.0,,,2.0,3.0,,,
Pittsburgh,40.4406,-79.9959,United States of America,False,305704.0,,2.0,2.0,2.0,,,
Podgorica,42.4304,19.2594,Montenegro,False,185937.0,1.0,2.0,2.0,2.0,,,
"Portland, ME",43.6615,-70.2553,United States of America,False,66937.0,,2.0,,2.0,,,
"Portland, OR",45.52,-122.682,United States of America,True,639863.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
Prince George,53.9171,-122.75,Canada,False,74003.0,,2.0,,3.0,,,
Providencia,-33.4313,-70.6092,Chile,False,126487.0,,,2.0,2.0,,,
Puerto Barrios,-88.5944,15.7278,Guatemala,False,116000.0,,,1.0,1.0,,,
PÃ¤rnu,58.3858,24.4966,Estonia,False,,,,2.0,,,,
Quelimane,-17.8503,36.9218,Mozambique,False,250000.0,,2.0,,2.0,,2.0,
Quito,-0.2333,-78.5167,Ecuador,True,2239191.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ramsey,45.2611,-93.45,United States of America,False,26462.0,,,,,1.0,,
Recife,-8.05783,-34.8829,Brazil,False,1633697.0,,,,3.0,,,
Reggio Emilia,44.4376,10.8774,Italy,False,0.0,,,2.0,,,,
Reno,39.5296,-119.814,United States of America,False,245255.0,,2.0,2.0,,,,
ReykjavÃ­k,64.1265,-21.8174,Iceland,False,123246.0,,,1.0,1.0,,,
"Richmond, VA",37.5407,-77.436,United States of America,False,,,2.0,,,,,
Riga,56.9496,24.1052,Latvia,False,637971.0,1.0,2.0,,1.0,,,2.0
Rio Verde,-17.9685,-50.4892,Brazil,False,217.048,,,,3.0,,,
Rio de Janeiro,-22.9054,-43.5614,Brazil,True,6520266.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
Rochester,43.161,-77.6109,United States of America,False,208046.0,,,2.0,2.0,,,
Roma,41.53,12.2858,Italy,True,2876.614,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Rostock,54.0887,12.1405,Germany,False,,,2.0,,,,,
Sacramento,38.5816,-121.494,United States of America,False,495234.0,,,2.0,,,,
Salt Lake City,40.7608,-111.891,United States of America,False,193744.0,,2.0,3.0,2.0,,,
San Antonio,29.4241,-98.4936,United States of America,False,1469845.0,,,2.0,,,,
San Francisco,37.7749,-122.419,United States of America,True,870887.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
San Isidro (Lima),-12.0977,-77.0273,Peru,False,54.206,2.0,2.0,3.0,,,,
"San JosÃ©, CA",37.3382,-121.886,United States of America,False,1046079.0,,,2.0,,,,
San Leandro,37.7249,-122.156,United States of America,False,90465.0,,3.0,2.0,,,,
San Pedro de UrabÃ¡,-76.3414,8.34552,Colombia,False,,,,,2.0,,,
"Santa Cruz, CA",36.9741,-122.031,United States of America,False,64465.0,,,2.0,,,,
Santa Fe County,35.5,-106.0,United States of America,False,149790.0,,,2.0,,2.0,,
SantarÃ©m,39.2367,-8.68599,Portugal,False,,,,2.0,,,,
Santiago,-33.4489,-70.6693,Chile,True,7112808.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0
Santiago de Cali,3.45164,-76.532,Colombia,False,2369829.0,,,,2.0,,,
Santiago de Guayaquil,-2.17099,-79.9223,Ecuador,False,2440553.0,,,2.0,,,,
Santiago de Surco,-12.1453,-77.0051,Peru,False,506879.0,,,3.0,,,,
Saratoga Springs,43.0333,-73.8167,United States of America,False,28027.0,,,,1.0,1.0,,
Saskatoon,52.1332,-106.67,Canada,False,265300.0,,2.0,2.0,2.0,,,
Seattle,47.6062,-122.332,United States of America,True,725000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Sekhukhune District Municipality,-24.8335,29.974,South Africa,False,1076840.0,,,,2.0,,,
Sincelejo,9.30457,-75.3906,Colombia,False,275207.0,2.0,,2.0,2.0,,,
SopÃ³,4.9075,-73.9384,Colombia,False,27932.0,,,,,1.0,,
Sorocaba,-23.4775,-47.4221,Brazil,False,652481.0,,2.0,2.0,3.0,2.0,,
St Catharines,43.1594,-79.2469,Canada,False,131400.0,1.0,2.0,,2.0,,,
St Louis,38.627,-90.1994,United States of America,False,319294.0,,2.0,2.0,,,,
Stockholm,59.3293,18.0686,Sweden,True,935619.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Surfside,25.8789,-80.1233,United States of America,False,5811.0,,2.0,2.0,,,,
Suwon,37.17,126.805,Republic of Korea,False,1240480.0,,,2.0,,,,
SÃ£o Bento do SapucaÃ­,-22.6874,-45.732,Brazil,False,11000.0,,3.0,3.0,3.0,3.0,,
SÃ£o Leopoldo,-29.761,-51.1493,Brazil,False,226.68,1.0,1.0,1.0,,1.0,,
SÃ£o Paulo,-23.5595,-46.7382,Brazil,True,11253.503,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SÃ£o Vicente,-23.963,-46.3919,Brazil,False,333.0,,,,,1.0,,
Taichung,24.1619,120.647,"Taiwan, Greater China",False,2792164.0,,,1.0,,,,
Taipei,25.0375,121.564,"Taiwan, Greater China",False,2683257.0,,,2.0,1.0,,,
TangarÃ¡ da Serra,-14.6194,-57.4858,Brazil,False,83.431,,,2.0,,,,
TatuÃ­,-23.3492,-47.8466,Brazil,False,116.296,,,2.0,2.0,,,
Tegucigalpa,14.1051,-87.2044,Honduras,False,1225043.0,2.0,,,,,,
Tempe,33.4255,-111.94,United States of America,False,175826.0,,2.0,2.0,,,,
The Hague,52.0705,4.3007,Netherlands,False,525745.0,,,2.0,2.0,,,
Tokyo,35.41,139.41,Japan,True,13857664.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Toledo,41.6639,-83.5552,United States of America,False,287208.0,,,,3.0,,,
Torres Vedras,38.7637,-9.30148,Portugal,False,79465.0,,2.0,2.0,2.0,,,
TorreÃ³n,25.5428,-103.407,Mexico,False,639629.0,,,2.0,3.0,2.0,,
Tuzla,44.5375,18.6735,Turkey,False,235000.0,,,2.0,,,,
Urla,38.3434,26.5536,Turkey,False,228.0,,,,1.0,,,
Vail,39.6403,-106.374,United States of America,False,5305.0,,,2.0,2.0,,,
Vancouver,49.2612,-123.114,Canada,True,631486.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vhembe,-22.7695,29.974,South Africa,False,1441178.0,,,3.0,3.0,,,
Vinhedo,-23.0307,-46.9838,Brazil,False,71217.0,,,2.0,,,,
VitÃ³ria,-20.3338,-40.3776,Brazil,False,363140.0,2.0,,2.0,2.0,,,
Warsaw,52.2297,21.0122,Poland,True,1758143.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Washington, DC",38.9072,-77.0369,United States of America,True,693972.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Wellington,-41.2865,174.776,New Zealand,False,209102.0,,2.0,2.0,,,,
West Coast District Municipality,-32.0951,18.627,South Africa,False,,,,3.0,,,,
West Hollywood,34.09,-118.362,United States of America,False,,,,2.0,,,,
West Palm Beach,26.7153,-80.0534,United States of America,False,108161.0,,2.0,3.0,,,,
Windhoek,-22.5609,17.0658,Namibia,False,322500.0,,,2.0,,,,
Windsor,42.3149,-83.0364,Canada,False,217188.0,,,1.0,2.0,,,
Winston-Salem,36.0999,-80.2442,United States of America,False,242203.0,,,1.0,,,,
Wollongong,-34.4278,150.893,Australia,False,211201.0,,,2.0,2.0,,,
Xalapa,20.1318,-98.7556,Mexico,False,480841.0,2.0,2.0,2.0,,2.0,,
YaoundÃ© 6,3.86181,11.5191,Cameroon,False,324734.0,,2.0,2.0,,,,
Yokohama,35.4437,139.638,Japan,True,3731096.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ãlhavo,38.85,-7.58,Portugal,False,38598.0,,,2.0,2.0,,,
Ã–rebro,59.2741,15.2066,Sweden,False,150291.0,,,1.0,,,,
